quote_date,expiration,strike,option_type,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,trade_volume,open_interest
2019-06-26,2019-07-31,1950,P,2550,0.15,1,0.25,2917.8,2918.42,15,1153
2019-06-26,2019-07-31,2000,C,70,916.4,70,923.4,2917.8,2918.42,0,2675
2019-06-26,2019-07-31,2000,P,2324,0.2,98,0.3,2917.8,2918.42,0,4820
2019-06-26,2019-07-31,2025,C,70,891.5,70,898.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2025,P,1500,0.25,1761,0.35,2917.8,2918.42,0,2468
2019-06-26,2019-07-31,2050,C,70,866.7,70,873.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2050,P,2324,0.25,19,0.35,2917.8,2918.42,30,1264
2019-06-26,2019-07-31,2075,C,70,841.8,70,848.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2075,P,1530,0.3,1774,0.4,2917.8,2918.42,0,789
2019-06-26,2019-07-31,2100,C,70,816.8,70,823.7,2917.8,2918.42,0,1
2019-06-26,2019-07-31,2100,P,86,0.35,2013,0.45,2917.8,2918.42,0,2254
2019-06-26,2019-07-31,2125,C,70,791.9,70,798.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2125,P,2117,0.35,935,0.45,2917.8,2918.42,0,360
2019-06-26,2019-07-31,2150,C,70,767,70,773.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2150,P,1613,0.4,1416,0.5,2917.8,2918.42,15,1168
2019-06-26,2019-07-31,2175,C,70,742.1,70,749,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2175,P,1079,0.45,1637,0.55,2917.8,2918.42,0,2569
2019-06-26,2019-07-31,2200,C,70,717.2,70,724.1,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2200,P,1011,0.5,1628,0.6,2917.8,2918.42,0,218
2019-06-26,2019-07-31,2225,C,70,692.3,70,699.3,2917.8,2918.42,0,1
2019-06-26,2019-07-31,2225,P,950,0.55,1352,0.65,2917.8,2918.42,25,1573
2019-06-26,2019-07-31,2250,C,70,667.5,70,674.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2250,P,1261,0.6,596,0.7,2917.8,2918.42,0,7106
2019-06-26,2019-07-31,2260,C,70,657.5,70,664.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2260,P,167,0.65,1734,0.75,2917.8,2918.42,0,19
2019-06-26,2019-07-31,2270,C,70,647.5,70,654.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2270,P,1641,0.65,534,0.75,2917.8,2918.42,0,74
2019-06-26,2019-07-31,2275,C,70,642.5,70,649.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2275,P,1722,0.65,266,0.75,2917.8,2918.42,0,561
2019-06-26,2019-07-31,2280,C,70,637.3,70,644.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2280,P,764,0.7,1435,0.8,2917.8,2918.42,0,71
2019-06-26,2019-07-31,2290,C,70,627.6,70,634.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2290,P,1634,0.7,483,0.8,2917.8,2918.42,0,363
2019-06-26,2019-07-31,2300,C,70,617.7,70,624.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2300,P,1161,0.75,524,0.85,2917.8,2918.42,1,5967
2019-06-26,2019-07-31,2310,C,70,607.7,70,614.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2310,P,639,0.8,1261,0.9,2917.8,2918.42,0,78
2019-06-26,2019-07-31,2320,C,70,597.9,70,604.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2320,P,1615,0.8,19,0.9,2917.8,2918.42,0,205
2019-06-26,2019-07-31,2325,C,70,593,70,599.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2325,P,811,0.85,610,0.95,2917.8,2918.42,0,756
2019-06-26,2019-07-31,2330,C,70,587.9,70,594.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2330,P,1528,0.85,472,0.95,2917.8,2918.42,0,96
2019-06-26,2019-07-31,2340,C,70,577.9,70,584.9,2917.8,2918.42,0,0
